Event Groups,Brand,Publisher,Advertiser,Event Template,Start Date,End Date,Number of days,Impressions,Total Reach,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5+,completion_0%+,completion_25%+,completion_50%+,completion_75%+,completion_100%,viewability_0%+,viewability_50%+,viewability_100%
CC Autumn 23,Call Connect,Digital1,MC1,"Common, Video",7/22/2025,9/2/2025,42,1500000,345000,103500,69000,41400,27600,103500,1500000,1200000,900000,600000,300000,1500000,900000,300000
CC Autumn 23,Call Connect,Digital2,MC1,"Common, Video",7/22/2025,9/2/2025,42,3500000,805000,523250,120750,80500,72450,8050,3500000,3150000,2800000,2450000,2100000,3500000,2800000,2100000
Make Mobile Great Again 1,Mega Mobile,Digital1,MC1,"Common, Video",6/20/2025,9/13/2025,85,5000000,1150000,747500,172500,115000,103500,11500,5000000,4000000,3000000,2000000,1000000,5000000,3000000,1000000
Make Mobile Great Again 2,Mega Mobile,Digital1,MC1,"Common, Video",6/20/2025,9/13/2025,85,12500000,2875000,1868750,431250,287500,258750,28750,12500000,10000000,7500000,5000000,2500000,12500000,7500000,2500000
Make Mobile Great Again,Mega Mobile,Digital2,MC1,"Common, Video",6/20/2025,9/13/2025,85,7500000,1725000,1121250,258750,172500,155250,17250,7500000,6750000,6000000,5250000,4500000,7500000,6000000,4500000
Raging Red,Lucky Lipstick,Digital1,MC2,"Common, Display",6/12/2025,9/13/2025,93,5000000,1150000,747500,172500,115000,103500,11500,N/A,N/A,N/A,N/A,N/A,5000000,3000000,1000000
Raging Red,Lucky Lipstick,Digital2,MC2,"Common, Display",6/12/2025,9/13/2025,93,7500000,1725000,1121250,258750,172500,155250,17250,N/A,N/A,N/A,N/A,N/A,7500000,6000000,4500000
Raging Red,Lucky Lipstick,Digital2,MC2,"Common, Video",6/12/2025,9/13/2025,93,12500000,2875000,1868750,431250,287500,258750,28750,12500000,11250000,10000000,8750000,7500000,12500000,10000000,7500000
Eurozone Add-on,Roam Ready,Digital2,MC1,"Common, Video",3/5/2025,6/28/2025,115,45000000,10350000,6727500,1552500,1035000,931500,103500,45000000,40500000,36000000,31500000,27000000,45000000,36000000,27000000
Eurozone Add-on,Roam Ready,Digital2,MC1,"Common, Display",3/5/2025,6/28/2025,115,7500000,1725000,1121250,258750,172500,155250,17250,N/A,N/A,N/A,N/A,N/A,7500000,6000000,4500000
Eurozone Add-on,Roam Ready,Digital1,MC1,"Common, Video",3/5/2025,6/28/2025,115,18750000,4312500,2803125,646875,431250,388125,43125,18750000,15000000,11250000,7500000,3750000,18750000,11250000,3750000
Eurozone Add-on,Roam Ready,Digital1,MC1,"Common, Display",3/5/2025,6/28/2025,115,3750000,862500,560625,129375,86250,77625,8625,N/A,N/A,N/A,N/A,N/A,3750000,2250000,750000
Winter Calls 1,Vibrant Voice,Digital2,MC1,"Common, Video",3/15/2025,7/19/2025,126,32250000,7417500,4821375,1112625,741750,667575,74175,32250000,29025000,25800000,22575000,19350000,32250000,25800000,19350000
Winter Calls 2,Vibrant Voice,Digital2,MC1,"Common, Video",3/15/2025,7/19/2025,126,12000000,2760000,1794000,414000,276000,248400,27600,12000000,10800000,9600000,8400000,7200000,12000000,9600000,7200000
Winter Calls 1,Vibrant Voice,Digital1,MC1,"Common, Video",3/15/2025,7/19/2025,126,17250000,3967500,2578875,595125,396750,357075,39675,17250000,13800000,10350000,6900000,3450000,17250000,10350000,3450000
Winter Calls 2,Vibrant Voice,Digital1,MC1,"Common, Video",3/15/2025,7/19/2025,126,13500000,3105000,2018250,465750,310500,279450,31050,13500000,10800000,8100000,5400000,2700000,13500000,8100000,2700000
Bouncy Curls 1,Happy Hair,Digital2,MC2,"Common, Display",2/2/2025,6/2/2025,120,22500000,5175000,3363750,776250,517500,465750,51750,N/A,N/A,N/A,N/A,N/A,22500000,18000000,13500000
Bouncy Curls 2,Happy Hair,Digital2,MC2,"Common, Display",2/2/2025,6/2/2025,120,2250000,517500,336375,77625,51750,46575,5175,N/A,N/A,N/A,N/A,N/A,2250000,1800000,1350000
